 time            v(in)           v(out)          i(vdd)         
 2.78500000e-09  3.30000000e+00  2.95538033e-06  1.35634503e-08 
 2.79500000e-09  3.30000000e+00 -2.90582402e-06 -1.34811053e-08 
 2.80000000e-09  3.30000000e+00  2.86493158e-06  1.33034754e-08 
 2.80100000e-09  3.28350000e+00 -7.50937786e-03 -3.26153821e-05 
 2.80300000e-09  3.25050000e+00 -1.92881961e-02 -3.29731877e-05 
 2.80700000e-09  3.18450000e+00 -2.94960033e-02 -3.14368470e-05 
 2.81500000e-09  3.05250000e+00 -3.38244291e-02 -3.05575012e-05 
 2.82500000e-09  2.88750000e+00 -3.42424887e-02 -2.83980000e-05 
 2.83500000e-09  2.72250000e+00 -3.52420503e-02 -2.93234618e-05 
 2.84500000e-09  2.55750000e+00 -3.52949438e-02 -5.58947910e-05 
 2.85500000e-09  2.39250000e+00 -3.09707849e-02 -6.94635444e-05 
 2.86500000e-09  2.22750000e+00 -1.95700594e-02 -8.73936624e-05 
 2.87500000e-09  2.06250000e+00 -1.51176072e-03 -1.14497457e-04 
 2.88500000e-09  1.89750000e+00  2.29866312e-02 -1.44548764e-04 
 2.89500000e-09  1.73250000e+00  5.60661715e-02 -1.80995727e-04 
 2.90500000e-09  1.56750000e+00  1.00763721e-01 -2.18762966e-04 
 2.91500000e-09  1.40250000e+00  1.64308503e-01 -2.60643136e-04 
 2.92500000e-09  1.23750000e+00  2.69515542e-01 -3.01759131e-04 
 2.93500000e-09  1.07250000e+00  6.28812454e-01 -3.38139215e-04 
 2.94500000e-09  9.07500000e-01  1.45170259e+00 -3.53836293e-04 
 2.95500000e-09  7.42500000e-01  2.21768955e+00 -2.88053213e-04 
 2.96500000e-09  5.77500000e-01  2.65951767e+00 -2.22453430e-04 
 2.97500000e-09  4.12500000e-01  2.92692706e+00 -1.62480215e-04 
 2.98500000e-09  2.47500000e-01  3.06631919e+00 -1.28013135e-04 
 2.99500000e-09  8.25000000e-02  3.13327748e+00 -1.07132198e-04 
 3.00000000e-09  0.00000000e+00  3.15094197e+00 -1.04015559e-04 
 3.00100000e-09  0.00000000e+00  3.16291542e+00 -5.87797952e-05 
 3.00300000e-09  0.00000000e+00  3.18534238e+00 -3.58394968e-05 
 3.00700000e-09  0.00000000e+00  3.21977682e+00 -3.03853114e-05 
 3.01500000e-09  0.00000000e+00  3.26178918e+00 -1.15752316e-05 
